,ft_hash,topic,livefyre_id
63,9b32d748-4427-11e6-9b66-0712b3873ae1,Russia,OWIzMmQ3NDgtNDQyNy0xMWU2LTliNjYtMDcxMmIzODczYWUx
64,5e9fa63e-48d8-11e6-8d68-72e9211e86ab,Russia,NWU5ZmE2M2UtNDhkOC0xMWU2LThkNjgtNzJlOTIxMWU4NmFi
65,6d98128e-81ae-11e6-bc52-0c7211ef3198,Russia,NmQ5ODEyOGUtODFhZS0xMWU2LWJjNTItMGM3MjExZWYzMTk4
66,3cdfce34-8325-11e6-8897-2359a58ac7a5,Russia,M2NkZmNlMzQtODMyNS0xMWU2LTg4OTctMjM1OWE1OGFjN2E1
67,d5bb48e8-81a1-11e6-8e50-8ec15fb462f4,Russia,ZDViYjQ4ZTgtODFhMS0xMWU2LThlNTAtOGVjMTVmYjQ2MmY0
68,1520f5ee-823f-11e6-a29c-6e7d9515ad15,Russia,MTUyMGY1ZWUtODIzZi0xMWU2LWEyOWMtNmU3ZDk1MTVhZDE1
69,bef02ede-817a-11e6-bc52-0c7211ef3198,Russia,YmVmMDJlZGUtODE3YS0xMWU2LWJjNTItMGM3MjExZWYzMTk4
70,9638f2be-7fe5-11e6-bc52-0c7211ef3198,Russia,OTYzOGYyYmUtN2ZlNS0xMWU2LWJjNTItMGM3MjExZWYzMTk4
71,d596ef2c-816d-11e6-bc52-0c7211ef3198,Russia,ZDU5NmVmMmMtODE2ZC0xMWU2LWJjNTItMGM3MjExZWYzMTk4
72,ad8d180c-81a0-11e6-bc52-0c7211ef3198,Russia,YWQ4ZDE4MGMtODFhMC0xMWU2LWJjNTItMGM3MjExZWYzMTk4
73,fce32c96-81a7-11e6-bc52-0c7211ef3198,Russia,ZmNlMzJjOTYtODFhNy0xMWU2LWJjNTItMGM3MjExZWYzMTk4
74,0e3aecaa-81b1-11e6-bc52-0c7211ef3198,Russia,MGUzYWVjYWEtODFiMS0xMWU2LWJjNTItMGM3MjExZWYzMTk4
